id	materials0_id	materials0_qty	materials1_id	materials1_qty	unlock_level	is_final_product	product	pos	power	utensil	exp
600206	71	1	200570	1	20	0	600206	163	1	0	1
600207	9410	1	65009	2	20	0	600207	164	1	0	1
600208	600206	1	600207	1	20	1	600208	165	1	0	1
600209	600040	1	500207	1	20	0	600209	166	1	0	1
600210	200535	2	500310	1	20	0	600210	167	1	0	1
600211	600209	1	600210	2	20	1	600211	168	1	0	1
600212	21	2	200437	1	20	0	600212	169	1	0	1
600213	33	3	600040	1	20	0	600213	170	1	0	1
600214	600212	1	600213	1	20	1	600214	171	1	0	1
600200	600040	1	9124	3	20	0	600200	172	1	0	1
600201	600167	1	500294	1	20	0	600201	173	1	0	1
600202	600200	1	600201	1	20	1	600202	174	1	0	1
600203	18	1	40009	1	20	0	600203	175	1	0	1
600204	500294	1	300009	1	20	0	600204	176	1	0	1
600205	600203	2	600204	2	20	1	600205	177	1	0	1
600197	20145	1	20122	3	20	0	600197	178	1	0	1
600198	500289	1	600167	1	20	0	600198	179	1	0	1
600199	600197	1	600198	1	20	1	600199	180	1	0	1
600194	600163	1	30302	2	20	0	600194	181	1	0	1
600195	20145	1	500136	2	20	0	600195	182	1	0	1
600196	600194	1	600195	1	20	1	600196	183	1	0	1
600188	600183	1	600040	1	20	0	600188	184	1	0	1
600189	30130	2	600101	2	20	0	600189	185	1	0	1
600190	600188	1	600189	1	20	1	600190	186	1	0	1
600191	600037	1	600036	1	20	0	600191	187	1	0	1
600192	500280	1	20124	2	20	0	600192	188	1	0	1
600193	600191	1	600192	2	20	1	600193	189	1	0	1
600182	65005	1	46	2	18	1	600182	190	1	0	1
600183	20	2	17	2	13	0	600183	191	1	0	1
600184	600183	2	500272	1	20	1	600184	192	1	0	1
600185	600037	1	17	2	20	0	600185	193	1	0	1
600186	600185	1	600184	1	20	0	600186	194	1	0	1
600187	600186	1	9410	2	20	1	600187	195	1	0	1
600176	200346	1	30221	1	18	0	600176	196	1	0	1
600177	700014	1	18	3	22	0	600177	197	1	0	1
600178	600176	1	600177	1	22	1	600178	198	1	0	1
600179	6004	4	600040	1	22	0	600179	199	1	0	1
600180	20145	1	19	1	22	0	600180	200	1	0	1
600181	600179	1	600180	1	22	1	600181	201	1	0	1
600170	500136	1	30312	1	22	0	600170	202	1	0	1
600171	500148	1	30221	1	22	0	600171	203	1	0	1
600172	600170	1	600171	1	22	1	600172	204	1	0	1
600173	20115	2	600040	1	13	0	600173	205	1	0	1
600174	21	1	700042	1	22	0	600174	206	1	0	1
600175	600173	1	600174	1	22	1	600175	207	1	0	1
600160	18	2	6004	2	22	0	600160	208	1	0	1
600161	21	1	700028	1	22	0	600161	209	1	0	1
600162	600160	1	600161	1	22	1	600162	210	1	0	1
600163	6004	2	600167	1	22	0	600163	211	1	0	1
600164	20156	1	600002	2	22	0	600164	212	1	600169	1
600165	600163	1	600164	1	22	1	600165	213	1	0	1
600166	500136	2	20145	2	22	0	600166	214	1	0	1
600167	9102	1	20124	2	22	0	600167	215	1	0	1
600168	600166	1	600167	1	22	1	600168	216	1	0	1
600157	44	1	500215	1	18	0	600157	217	1	0	1
600158	82	1	60	1	18	0	600158	218	1	0	1
600159	600157	1	600158	1	18	1	600159	219	1	0	1
600154	21	1	600068	1	18	0	600154	220	1	0	1
600155	600154	1	600040	1	18	0	600155	221	1	0	1
600156	600155	1	65009	1	18	1	600156	222	1	0	1
600151	600040	1	42	2	18	0	600151	223	1	0	1
600152	6004	3	9410	1	18	0	600152	224	1	0	1
600153	600151	1	600152	1	18	1	600153	225	1	0	1
600148	65012	2	500207	1	18	0	600148	226	1	0	1
600149	60	1	42	3	18	0	600149	227	1	0	1
600150	600146	1	500207	1	18	1	600150	228	1	0	1
600145	49	3	500207	1	18	0	600145	229	1	0	1
600146	600040	1	500215	1	18	0	600146	230	1	0	1
600147	600146	1	600145	1	18	1	600147	231	1	0	1
600141	20124	1	20124	1	20	0	600141	232	1	0	1
600142	20152	1	65009	1	20	0	600142	233	1	0	1
600143	600141	1	600142	1	20	1	600143	234	1	0	1
600138	200234	1	65004	2	20	0	600138	235	1	0	1
600139	18	1	46	1	13	1	600139	236	1	0	1
600140	600138	1	600139	2	20	1	600140	237	1	600144	1
600131	500192	1	65009	1	9	1	600131	238	1	0	1
600132	500192	1	600070	1	22	1	600132	239	1	0	1
600133	500192	1	600042	1	18	1	600133	240	1	0	1
600134	700039	1	600040	1	22	1	600134	241	1	0	1
600135	700039	1	700020	1	22	1	600135	242	1	0	1
600136	500190	2	700021	1	22	1	600136	243	1	0	1
600092	300009	1	20124	1	10	0	600092	244	1	0	1
600093	500177	2	17	1	10	0	600093	245	1	0	1
600094	600092	2	600093	1	10	1	600094	246	1	0	1
600095	65009	1	500184	1	10	0	600095	247	1	0	1
600096	600036	1	19	1	10	0	600096	248	1	0	1
600097	600095	2	600096	1	10	1	600097	249	1	0	1
600089	600036	2	30302	2	10	1	600089	250	1	0	1
600090	600040	1	200954	1	10	1	600090	251	1	0	1
600091	65003	1	500137	1	10	1	600091	252	1	0	1
600086	20124	2	300009	2	9	1	600086	253	1	0	1
600087	500163	1	500136	2	9	1	600087	254	1	0	1
600088	500163	1	200534	2	9	1	600088	255	1	0	1
600083	6004	2	500137	2	9	1	600083	256	1	0	1
600085	600040	1	30223	2	9	1	600085	257	1	0	1
600084	500097	2	20115	1	9	1	600084	258	1	0	1
600080	500137	4	49	3	9	1	600080	259	1	0	1
600081	500137	3	60	2	9	1	600081	260	1	0	1
600082	500137	2	200002	1	9	1	600082	261	1	0	1
600077	500136	4	200709	2	15	1	600077	262	1	0	1
600078	500136	3	600004	1	15	1	600078	263	1	0	1
600079	500136	6	600005	1	15	1	600079	264	1	0	1
600071	14	2	20124	1	15	0	600071	265	1	0	1
600072	600071	1	500109	2	15	0	600072	266	1	0	1
600073	65005	1	600072	3	15	1	600073	267	1	0	2
600052	500087	1	500087	1	9	0	600052	268	1	0	2
600053	600052	2	500096	5	9	0	600053	269	1	0	2
600054	600053	2	21	2	9	1	600054	270	1	0	3
600055	18	1	200444	1	9	0	600055	271	1	0	2
600056	33	2	600037	1	9	0	600056	272	1	0	2
600057	600055	3	600056	1	9	1	600057	273	1	0	3
600058	9120	1	500097	2	9	0	600058	274	1	600064	2
600059	600058	1	20115	4	9	0	600059	275	1	600064	2
600060	600059	2	21	2	9	1	600060	276	1	600064	3
600061	500090	1	46	2	9	1	600061	277	1	0	2
600062	500090	2	600002	1	9	1	600062	278	1	0	2
600063	500090	2	600036	3	9	1	600063	279	1	0	3
600002	46	8	17	4	9	0	600002	280	1	0	1
600003	30131	4	49	6	9	0	600003	281	1	0	1
600030	600002	1	600003	1	9	1	600030	282	1	600001	2
126	13	1	13	1	9	0	126	283	1	0	2
600012	30131	2	126	1	9	0	600012	284	1	600025	2
600032	600012	1	62	2	9	1	600032	285	1	0	2
600033	200534	2	63	6	9	0	600033	286	1	600045	2
600034	600033	1	60	3	9	0	600034	287	1	600045	2
600035	600034	1	200445	1	9	1	600035	288	1	0	3
600036	200444	2	65004	2	10	0	600036	289	1	0	2
600009	600036	1	65	2	10	0	600009	290	1	0	2
600016	600009	1	200469	1	10	1	600016	291	1	0	4
600037	18	2	21	1	12	0	600037	292	1	0	2
600004	600037	1	58	3	12	0	600004	293	1	0	2
600018	600004	1	126	1	12	1	600018	294	1	600026	4
600005	20115	8	19	2	14	0	600005	295	1	0	2
600019	600005	1	500001	1	14	0	600019	296	1	0	2
600038	600019	1	200954	3	14	1	600038	297	1	600001	4
600074	600068	1	300009	1	17	0	600074	298	1	0	1
600075	600074	1	63	2	15	0	600075	299	1	0	1
600076	600075	2	500124	1	15	1	600076	300	1	0	1
600068	17	1	20124	1	17	0	600068	301	1	0	1
600069	600068	1	64	1	15	0	600069	302	1	0	1
600070	500112	1	600069	2	15	1	600070	303	1	0	2
600039	6004	2	200437	2	16	0	600039	304	1	0	2
600006	600039	1	89	2	16	0	600006	305	1	0	2
600020	600006	1	9410	2	16	1	600020	306	1	0	4
600040	600036	1	600037	1	10	0	600040	307	1	0	2
600041	600040	1	30102	4	18	1	600041	308	1	600023	2
600042	600040	1	55006	2	18	1	600042	309	1	600023	2
600008	30095	10	200437	2	20	0	600008	310	1	0	2
600015	20	12	20152	2	20	0	600015	311	1	0	2
600022	600008	1	600015	1	20	1	600022	312	1	0	3
600007	20154	2	200459	2	22	0	600007	313	1	600024	2
600043	600007	1	200466	3	22	0	600043	314	1	0	2
600044	600043	1	82	1	22	1	600044	315	1	0	3
600049	46	5	20	2	12	0	600049	316	1	0	1
600050	500073	1	65006	1	23	0	600050	317	1	0	2
600051	600049	4	600050	2	25	1	600051	318	1	0	3
600065	200529	1	200535	1	26	0	600065	319	1	0	2
600066	600065	2	9008	1	26	0	600066	320	1	0	2
600067	600066	2	600040	2	26	1	600067	321	1	600064	3
600101	17	1	17	1	11	0	600101	322	1	0	1
600102	600040	1	31025	1	25	0	600102	323	1	0	1
600103	600101	1	600102	1	25	1	600103	324	1	0	2
600098	31007	1	500097	1	25	0	600098	325	1	0	1
600099	600098	1	600101	1	25	1	600099	326	1	0	1
600100	600098	2	9116	3	25	1	600100	327	1	0	1
600104	21	1	21	1	12	0	600104	328	1	0	1
600105	600104	1	31024	2	25	0	600105	329	1	0	1
600106	600105	2	31011	1	25	1	600106	330	1	0	1
600107	20115	2	30302	2	12	0	600107	331	1	0	1
600108	600107	1	600040	1	18	0	600108	332	1	600137	1
600109	600108	2	31012	2	25	1	600109	333	1	0	1
600113	31020	1	31021	1	25	0	600113	334	1	0	1
600114	200437	1	600113	1	25	0	600114	335	1	0	1
600115	600114	1	200954	1	25	1	600115	336	1	0	1
600110	44	1	20001	3	30	0	600110	337	1	0	1
600111	200003	1	31013	1	25	0	600111	338	1	0	1
600112	600111	1	600110	2	30	1	600112	339	1	0	1
600116	200438	1	31008	2	25	0	600116	340	1	0	1
600117	600116	1	31017	1	25	0	600117	341	1	0	1
600118	600117	1	20154	1	25	1	600118	342	1	0	1
600119	20145	1	31005	3	25	0	600119	343	1	0	1
600120	31009	1	6004	3	25	0	600120	344	1	0	1
600121	600120	2	600119	1	25	1	600121	345	1	0	1
600128	6004	1	31019	1	25	0	600128	346	1	0	1
600129	600128	1	31026	1	25	1	600129	347	1	0	1
600130	600128	2	31028	1	25	1	600130	348	1	0	1
600122	600040	1	600040	1	19	0	600122	349	1	600137	1
600123	31030	1	600122	1	25	0	600123	350	1	0	1
600124	600123	2	200003	1	25	1	600124	351	1	0	1
600125	4011	3	31010	1	33	0	600125	352	1	0	1
600126	600125	1	20154	2	33	1	600126	353	1	0	1
600127	600125	2	6004	3	33	1	600127	354	1	0	1
